timestamp,elapsed_sec,backend_cpu_pct,backend_mem_mb,postgres_cpu_pct,postgres_mem_mb,db_connections,db_active,db_idle_in_txn,max_query_sec,wait_events
2026-08-25T20:21:30,0,1.20,242.1,1.88,89.1,11,1,0,0.0,running:1
2026-08-25T20:21:38,8,1.62,242.5,7.41,89,11,1,0,0.0,running:1
2026-08-25T20:21:45,15,6.85,242.1,10.82,89.5,11,1,0,0.0,running:1
2026-08-25T20:21:53,22,22.36,244.5,79.73,95,11,1,0,0.0,running:1
2026-08-25T20:22:00,30,22.75,245.6,83.73,96.8,11,2,0,0.0,running:2
2026-08-25T20:22:08,38,22.57,245.2,85.03,95.8,11,1,0,0.0,running:1
2026-08-25T20:22:15,45,24.10,245.9,83.23,96.4,11,2,0,0.0,running:2
2026-08-25T20:22:23,53,22.60,245.9,86.87,96.4,11,2,0,0.0,running:2
2026-08-25T20:22:30,60,25.59,246,92.71,96.9,11,1,0,0.0,running:1
2026-08-25T20:22:38,68,22.59,246.2,84.19,97.3,11,2,0,0.0,running:2
2026-08-25T20:22:45,75,24.77,245.5,91.11,97.3,11,3,0,0.0,running:3
2026-08-25T20:22:53,82,27.46,246,90.74,97.2,11,3,0,0.0,running:3
2026-08-25T20:23:00,90,12.98,247.4,32.55,98.1,11,2,0,0.0,running:2
2026-08-25T20:23:08,98,1.86,247.2,5.60,98.2,11,1,0,0.0,running:1
2026-08-25T20:23:15,105,1.61,247.7,5.44,97.8,11,1,0,0.0,running:1
2026-08-25T20:23:23,112,1.74,247.8,5.06,97.4,11,1,0,0.0,running:1
2026-08-25T20:23:30,120,1.62,248.7,5.37,97.2,11,1,0,0.0,running:1
2026-08-25T20:23:38,128,1.97,247.8,5.42,96.9,11,1,0,0.0,running:1
2026-08-25T20:23:45,135,2.37,248,4.27,97.4,11,1,0,0.0,running:1
2026-08-25T20:23:53,142,1.85,248.1,5.67,97.1,11,1,0,0.0,running:1
2026-08-25T20:24:00,150,2.55,248.8,6.39,97.1,11,1,0,0.0,running:1
2026-08-25T20:24:08,158,1.70,248.2,6.40,97.9,11,1,0,0.0,running:1
2026-08-25T20:24:15,165,1.87,248.6,6.55,97.5,11,2,0,0.0,running:2
2026-08-25T20:24:23,172,1.62,248.8,5.51,97.9,11,1,0,0.0,running:1
