timestamp,elapsed_sec,backend_cpu_pct,backend_mem_mb,postgres_cpu_pct,postgres_mem_mb,db_connections,db_active,db_idle_in_txn,max_query_sec,wait_events
2026-08-25T21:16:16,0,0.13,348.4,1.92,100.8,11,1,0,0.0,running:1
2026-08-25T21:16:21,558,0.11,348,1.47,101,11,1,0,0.0,running:1
2026-08-25T21:16:24,8,95.53,348.2,1.24,101,11,1,0,0.0,running:1
2026-08-25T21:16:31,15,47.93,348.7,196.63,102.7,11,7,0,0.0,running:7
2026-08-25T21:16:39,23,44.83,349.5,197.20,106,11,7,0,0.0,running:7
2026-08-25T21:16:47,30,51.61,349.1,198.29,106,11,11,0,0.0,running:11
2026-08-25T21:16:54,37,52.56,349.4,198.17,105.7,11,9,0,0.0,running:9
2026-08-25T21:17:01,45,47.04,349.2,197.85,106.1,11,8,0,0.0,running:8
2026-08-25T21:17:09,53,52.53,349.2,198.70,105.5,11,7,0,0.0,running:7
2026-08-25T21:17:17,61,49.76,350.6,198.53,106.7,11,2,0,0.0,running:2
2026-08-25T21:17:25,68,46.80,350.6,194.76,105.5,11,11,0,0.0,Client:1 running:10
2026-08-25T21:17:32,75,52.70,352,197.19,106,11,11,0,0.0,running:11
2026-08-25T21:17:39,83,46.76,352.2,198.92,105.7,11,9,0,0.0,Client:1 running:8
2026-08-25T21:17:46,90,48.14,352.8,197.15,105.8,11,10,0,0.0,Client:1 IO:1 running:8
2026-08-25T21:17:54,98,49.90,354.2,197.86,105.9,12,10,0,0.0,Client:1 running:9
2026-08-25T21:18:02,106,52.39,354.8,198.32,105.9,12,10,0,0.0,running:10
2026-08-25T21:18:10,114,48.23,354.8,197.74,106,11,8,0,0.0,running:8
2026-08-25T21:18:17,121,50.36,356.1,195.79,105.3,11,10,0,0.0,running:10
2026-08-25T21:18:25,129,54.34,356.3,198.28,105,11,11,0,0.0,Client:2 running:9
2026-08-25T21:18:33,136,47.93,357.4,202.79,106,11,10,0,0.0,Client:1 running:9
2026-08-25T21:18:40,144,50.55,358.3,197.99,105.7,11,1,0,0.0,running:1
2026-08-25T21:18:48,152,55.32,359.9,197.95,105.4,11,11,0,0.0,Client:3 running:8
2026-08-25T21:18:56,160,48.31,361,198.85,106.1,11,11,0,0.0,running:11
2026-08-25T21:19:04,168,49.25,362.3,197.95,106.2,11,10,0,0.0,running:10
2026-08-25T21:19:12,175,49.01,363.2,197.03,105.4,11,11,0,0.0,running:11
2026-08-25T21:19:19,183,51.33,365.1,203.29,106,11,1,0,0.0,running:1
2026-08-25T21:19:27,191,52.04,365.3,197.81,106.2,11,9,0,0.0,running:9
2026-08-25T21:19:35,199,49.70,367.3,203.63,105.7,11,8,0,0.0,running:8
2026-08-25T21:19:43,207,47.33,368.1,199.64,105.8,11,10,0,0.0,Client:2 running:8
2026-08-25T21:19:51,214,52.55,368.3,199.62,105.4,11,11,0,0.0,Client:2 running:9
2026-08-25T21:19:58,222,48.22,369.3,198.28,105.9,11,8,0,0.0,running:8
2026-08-25T21:20:06,230,48.32,371.4,198.12,105.4,11,10,0,0.0,Client:1 running:9
2026-08-25T21:20:14,238,48.08,371.6,199.81,106,11,9,0,0.0,running:9
2026-08-25T21:20:22,245,50.61,371.7,198.62,105.6,11,3,0,0.0,running:3
2026-08-25T21:20:29,253,47.84,371.9,199.17,105.9,11,10,0,0.0,Client:1 running:9
2026-08-25T21:20:37,261,54.39,371.3,196.07,105.6,11,10,0,0.0,IO:1 running:9
2026-08-25T21:20:45,269,50.76,372.5,198.65,105.6,11,11,0,0.0,running:11
2026-08-25T21:20:53,276,49.44,372,197.80,104.9,11,8,0,0.0,running:8
2026-08-25T21:21:00,284,51.62,372.7,197.88,106.4,11,11,0,0.0,running:11
2026-08-25T21:21:08,292,48.02,372.6,198.35,105.5,11,11,0,0.0,Client:1 running:10
2026-08-25T21:21:16,300,51.48,372.5,198.73,106.4,11,10,0,0.0,running:10
2026-08-25T21:21:24,308,52.07,373.1,197.60,105.4,11,10,0,0.0,running:10
